1353,24.00,64.60,3433,Very bright,0.32,-0.16,8.74,-0.08,0.02,-0.01,NOMINAL
2356,24.00,64.60,3152,Bright,0.36,-0.14,9.83,-0.08,0.02,-0.01,NOMINAL
3365,24.00,64.70,3250,Very bright,0.36,-0.18,9.80,-0.08,0.03,-0.01,NOMINAL
4368,24.00,64.70,3609,Very bright,0.37,-0.16,9.86,-0.08,0.02,-0.01,NOMINAL
5377,24.00,64.50,3631,Very bright,0.36,-0.17,9.83,-0.08,0.02,-0.01,NOMINAL
6380,24.00,64.50,3263,Very bright,0.36,-0.17,9.82,-0.08,0.03,-0.01,NOMINAL
7389,24.00,64.40,3243,Very bright,0.31,-0.19,9.84,-0.08,0.03,-0.01,NOMINAL
8392,24.00,64.40,3419,Very bright,0.38,-0.17,9.81,-0.08,0.02,-0.01,NOMINAL
9401,24.00,64.50,3471,Very bright,0.36,-0.15,9.84,-0.08,0.02,-0.01,NOMINAL
10404,24.00,64.50,3563,Very bright,0.34,-0.17,9.82,-0.08,0.02,-0.01,NOMINAL
11413,24.00,64.30,3530,Very bright,0.37,-0.15,9.84,-0.08,0.02,-0.01,NOMINAL
12416,24.00,64.30,3217,Very bright,0.39,-0.21,9.82,-0.08,0.02,-0.01,NOMINAL
13425,24.00,64.30,3212,Very bright,0.33,-0.15,9.82,-0.08,0.02,-0.01,NOMINAL
14428,24.00,64.30,3520,Very bright,0.36,-0.17,9.84,-0.08,0.03,-0.01,NOMINAL
15437,24.00,64.30,3522,Very bright,0.33,-0.15,9.82,-0.08,0.03,-0.01,NOMINAL
16440,24.00,64.30,3485,Very bright,0.38,-0.16,9.86,-0.08,0.03,-0.01,NOMINAL
17449,24.00,64.20,3455,Very bright,0.38,-0.17,9.82,-0.08,0.02,-0.01,NOMINAL
18452,24.00,64.20,3196,Bright,0.34,-0.15,9.82,-0.08,0.02,-0.01,NOMINAL
19461,24.00,64.30,3170,Bright,0.37,-0.17,9.83,-0.08,0.02,-0.01,NOMINAL
20464,24.00,64.30,3559,Very bright,0.37,-0.14,9.82,-0.08,0.02,-0.01,NOMINAL
21473,24.00,64.10,3579,Very bright,0.36,-0.18,9.82,-0.08,0.03,-0.01,NOMINAL
22476,24.00,64.10,3403,Very bright,0.36,-0.15,9.84,-0.08,0.02,-0.01,NOMINAL
23485,24.00,64.20,3398,Very bright,0.37,-0.14,9.82,-0.08,0.02,-0.01,NOMINAL
24488,24.00,64.20,3190,Bright,0.34,-0.16,9.83,-0.08,0.03,-0.01,NOMINAL
25497,24.00,64.00,3197,Bright,0.34,-0.15,9.83,-0.08,0.03,-0.01,NOMINAL
26500,24.00,64.00,3633,Very bright,0.34,-0.17,9.80,-0.08,0.02,-0.01,NOMINAL
27509,24.00,63.90,3654,Very bright,0.37,-0.16,9.82,-0.08,0.02,-0.01,NOMINAL
28512,24.00,63.90,3351,Very bright,0.36,-0.17,9.85,-0.08,0.02,-0.01,NOMINAL
29522,24.00,63.90,3312,Very bright,0.36,-0.17,9.81,-0.08,0.03,-0.01,NOMINAL
30524,24.00,63.90,3434,Very bright,0.36,-0.16,9.82,-0.08,0.02,-0.01,NOMINAL
31534,24.00,63.90,2426,Bright,0.31,-0.18,9.84,-0.08,0.03,-0.01,NOMINAL
32536,24.00,63.90,2275,Bright,0.36,-0.15,9.83,-0.08,0.02,-0.01,NOMINAL
33545,24.00,63.80,2079,Bright,0.37,-0.17,9.83,-0.08,0.02,-0.01,NOMINAL
34548,24.00,63.80,2151,Bright,0.37,-0.15,9.83,-0.08,0.02,-0.01,NOMINAL
35557,24.00,64.00,1566,Light,0.37,-0.16,9.81,-0.08,0.03,-0.01,NOMINAL
36560,24.00,64.00,1357,Light,0.37,-0.18,9.83,-0.09,0.02,-0.01,NOMINAL
37569,24.00,63.90,2000,Bright,0.38,-0.20,9.82,-0.08,0.04,-0.01,NOMINAL
38572,24.00,63.90,1276,Light,0.37,-0.16,9.80,-0.08,0.02,-0.01,NOMINAL
39581,24.00,64.10,1142,Light,0.34,-0.13,9.84,-0.08,0.02,-0.01,NOMINAL
40584,24.00,64.10,959,Light,0.38,-0.14,9.84,-0.07,0.04,-0.01,NOMINAL
41593,24.00,64.10,811,Light,0.34,-0.12,9.85,-0.08,0.02,-0.01,NOMINAL
42596,24.00,64.10,916,Light,0.33,-0.15,9.80,-0.08,0.03,-0.01,NOMINAL
43605,24.00,64.10,891,Light,0.33,-0.15,9.82,-0.08,0.03,-0.01,NOMINAL
44608,24.00,64.10,751,Dim,0.32,-0.09,9.83,-0.09,0.02,0.06,LOW_LIGHT
45617,24.00,64.10,671,Dim,0.34,-0.12,9.82,-0.08,0.02,-0.01,LOW_LIGHT
46620,24.00,64.10,565,Dim,0.32,-0.10,9.82,-0.09,0.02,-0.01,LOW_LIGHT
47629,24.00,64.30,594,Dim,0.35,-0.12,9.80,-0.09,0.01,-0.01,LOW_LIGHT
48632,24.00,64.30,603,Dim,0.31,-0.11,9.80,-0.08,0.03,-0.01,LOW_LIGHT
49641,24.00,64.10,591,Dim,0.31,-0.09,9.82,-0.08,0.03,-0.01,LOW_LIGHT
50644,24.00,64.10,585,Dim,0.31,-0.06,9.82,-0.08,0.02,-0.01,LOW_LIGHT
51653,24.00,63.90,1648,Light,0.34,-0.15,9.84,-0.08,0.03,-0.01,NOMINAL
52656,24.00,63.90,1601,Light,0.35,-0.15,9.82,-0.08,0.02,-0.01,NOMINAL
53665,24.00,63.80,2345,Bright,0.33,-0.13,9.85,-0.08,0.03,-0.01,NOMINAL
