1353,24.20,61.00,2629,Bright,0.59,-0.24,8.73,-0.08,0.02,-0.01,NOMINAL
2356,24.20,61.00,2827,Bright,0.68,-0.28,9.83,-0.08,0.02,-0.01,NOMINAL
3365,24.20,61.00,2891,Bright,0.67,-0.28,9.81,-0.08,0.02,-0.01,NOMINAL
4368,24.20,61.00,2769,Bright,0.68,-0.30,9.82,-0.08,0.02,-0.01,NOMINAL
5377,24.20,61.00,2723,Bright,0.67,-0.30,9.80,-0.08,0.03,-0.01,NOMINAL
6380,24.20,61.00,2512,Bright,0.68,-0.30,9.82,-0.08,0.03,-0.01,NOMINAL
7389,24.20,61.00,2608,Bright,0.68,-0.33,9.84,-0.08,0.03,-0.01,NOMINAL
8392,24.20,61.00,2970,Bright,0.67,-0.30,9.79,-0.08,0.02,-0.01,NOMINAL
9401,24.30,60.80,2962,Bright,0.67,-0.28,9.81,-0.08,0.03,-0.01,NOMINAL
10404,24.30,60.80,2615,Bright,0.66,-0.32,9.88,-0.08,0.03,-0.01,NOMINAL
11413,24.20,60.80,2599,Bright,0.66,-0.31,9.84,-0.08,0.02,-0.01,NOMINAL
12416,24.20,60.80,2816,Bright,0.68,-0.30,9.82,-0.08,0.02,-0.01,NOMINAL
13425,24.20,60.80,2822,Bright,0.59,-0.27,9.92,-0.08,0.03,-0.01,NOMINAL
14428,24.20,60.80,2813,Bright,0.68,-0.24,9.79,-0.08,0.02,-0.01,NOMINAL
15437,24.20,60.80,2795,Bright,0.70,-0.29,9.83,-0.08,0.02,-0.01,NOMINAL
16440,24.20,60.80,2525,Bright,0.65,-0.25,9.88,-0.08,0.02,-0.01,NOMINAL
17449,24.20,60.60,2497,Bright,0.70,-0.28,9.84,-0.08,0.02,-0.01,NOMINAL
18452,24.20,60.60,2923,Bright,0.66,-0.28,9.83,-0.08,0.02,-0.01,NOMINAL
19461,24.20,60.80,2940,Bright,0.67,-0.34,9.81,-0.08,0.02,-0.01,NOMINAL
20464,24.20,60.80,2685,Bright,0.67,-0.28,9.80,-0.08,0.02,-0.01,NOMINAL
21473,24.20,60.60,2656,Bright,0.66,-0.29,9.80,-0.08,0.02,-0.01,NOMINAL
22476,24.20,60.60,2647,Bright,0.66,-0.29,9.84,-0.08,0.02,-0.01,NOMINAL
23486,24.30,60.60,2768,Bright,0.67,-0.30,9.83,-0.08,0.02,-0.01,NOMINAL
24488,24.30,60.60,2950,Bright,0.66,-0.30,9.86,-0.08,0.02,-0.01,NOMINAL
25498,24.20,60.70,2855,Bright,0.67,-0.30,9.81,-0.08,0.02,-0.01,NOMINAL
26501,24.20,60.70,2498,Bright,0.65,-0.30,9.80,-0.08,0.02,-0.01,NOMINAL
27511,24.20,60.70,2608,Bright,0.66,-0.31,9.81,-0.08,0.02,-0.01,NOMINAL
28514,24.20,60.70,2881,Bright,0.64,-0.29,9.83,-0.08,0.03,-0.01,NOMINAL
29524,24.20,60.70,2799,Bright,0.66,-0.28,9.82,-0.08,0.02,-0.01,NOMINAL
30526,24.20,60.70,2539,Bright,0.68,-0.30,9.78,-0.08,0.02,-0.01,NOMINAL
31535,24.20,60.80,2512,Bright,0.66,-0.29,9.81,-0.08,0.03,-0.01,NOMINAL
32538,24.20,60.80,2917,Bright,0.65,-0.29,9.83,-0.08,0.03,-0.01,NOMINAL
33547,24.20,60.60,2960,Bright,0.66,-0.32,9.79,-0.08,0.03,-0.01,NOMINAL
34550,24.20,60.60,2668,Bright,0.67,-0.31,9.80,-0.08,0.02,-0.01,NOMINAL
35559,24.20,60.80,2643,Bright,0.67,-0.29,9.82,-0.08,0.02,-0.01,NOMINAL
36562,24.20,60.80,2741,Bright,0.65,-0.29,9.78,-0.08,0.02,-0.01,NOMINAL
37572,24.20,60.70,2833,Bright,0.68,-0.31,9.78,-0.08,0.02,-0.01,NOMINAL
38575,24.20,60.70,2734,Bright,0.66,-0.32,9.85,-0.08,0.02,-0.01,NOMINAL
39584,24.20,60.80,2701,Bright,0.66,-0.30,9.84,-0.08,0.02,-0.01,NOMINAL
40587,24.20,60.80,2591,Bright,0.65,-0.30,9.82,-0.08,0.02,-0.01,NOMINAL
41596,24.20,60.80,2697,Bright,0.67,-0.33,9.81,-0.08,0.03,-0.01,NOMINAL
42599,24.20,60.80,2950,Bright,0.67,-0.30,9.81,-0.08,0.02,-0.01,NOMINAL
43608,24.20,60.80,2896,Bright,0.67,-0.30,9.84,-0.08,0.02,-0.01,NOMINAL
44611,24.20,60.80,2559,Bright,0.65,-0.30,9.83,-0.08,0.03,-0.01,NOMINAL
45621,24.20,60.70,2521,Bright,0.67,-0.31,9.81,-0.08,0.02,-0.01,NOMINAL
46624,24.20,60.70,2957,Bright,0.66,-0.30,9.81,-0.08,0.02,-0.01,NOMINAL
47633,24.20,60.60,2955,Bright,0.68,-0.30,9.82,-0.08,0.03,-0.01,NOMINAL
48636,24.20,60.60,2592,Bright,0.68,-0.30,9.81,-0.08,0.03,-0.01,NOMINAL
49645,24.20,60.50,2546,Bright,0.65,-0.30,9.84,-0.08,0.02,-0.01,NOMINAL
50648,24.20,60.50,2866,Bright,0.66,-0.30,9.84,-0.08,0.03,-0.01,NOMINAL
51657,24.20,60.60,2925,Bright,0.71,-0.26,9.82,-0.08,0.03,-0.01,NOMINAL
52660,24.20,60.60,2687,Bright,0.66,-0.33,9.82,-0.08,0.02,-0.01,NOMINAL
53669,24.20,60.50,2626,Bright,0.66,-0.29,9.80,-0.08,0.02,-0.01,NOMINAL
54672,24.20,60.50,2695,Bright,0.67,-0.29,9.83,-0.08,0.03,-0.01,NOMINAL
55682,24.20,60.30,2815,Bright,0.67,-0.29,9.83,-0.08,0.02,-0.01,NOMINAL
56685,24.20,60.30,2704,Bright,0.66,-0.31,9.81,-0.08,0.03,-0.01,NOMINAL
